"month","label","mau"
"2020-08-01","고성과자",2.49
"2020-08-01","저성과자",2.09
"2020-09-01","고성과자",17.98
"2020-09-01","저성과자",15.58
"2020-10-01","고성과자",18.82
"2020-10-01","저성과자",17.59
"2020-11-01","고성과자",15.20
"2020-11-01","저성과자",13.58
"2020-12-01","고성과자",14.06
"2020-12-01","저성과자",11.91
"2021-02-01","고성과자",1.61
"2021-02-01","저성과자",2.02
"2021-03-01","고성과자",18.94
"2021-03-01","저성과자",19.78
"2021-04-01","고성과자",18.12
"2021-04-01","저성과자",18.10
"2021-05-01","고성과자",14.61
"2021-05-01","저성과자",18.18
"2021-06-01","고성과자",11.10
"2021-06-01","저성과자",11.47
"2021-07-01","고성과자",1.31
"2021-07-01","저성과자",1.44
"2021-08-01","고성과자",3.07
"2021-08-01","저성과자",2.89
"2021-09-01","고성과자",17.32
"2021-09-01","저성과자",15.16
"2021-10-01","고성과자",20.73
"2021-10-01","저성과자",18.74
"2021-11-01","고성과자",14.88
"2021-11-01","저성과자",11.37
"2021-12-01","고성과자",10.49
"2021-12-01","저성과자",8.34
"2022-02-01","고성과자",1.88
"2022-02-01","저성과자",1.76
"2022-03-01","고성과자",16.74
"2022-03-01","저성과자",15.57
"2022-04-01","고성과자",15.26
"2022-04-01","저성과자",16.21
"2022-05-01","고성과자",12.27
"2022-05-01","저성과자",11.04
"2022-06-01","고성과자",11.18
"2022-06-01","저성과자",8.88
"2022-07-01","고성과자",1.18
"2022-07-01","저성과자",1.29
"2022-08-01","저성과자",2.00
"2022-09-01","고성과자",1.33
"2022-09-01","저성과자",1.17
"2022-10-01","고성과자",1.00
"2022-10-01","저성과자",1.00
